depth ,C,N,pH_H2O,Delta_pH,non_crystal,Fe_h_Fe_d,Al_p,Fe_p,Al_p_Al_h,H_16S,S_16S,H_ITS,S_ITS,id,temp,co2,vwc,depth,Delta_temp
80,1.975,0.12,5.06,0.01,16606.65153,0.276700655,10552.59163,41408.1899,1.180257009,5.279272031,314,3.632761262,160.1875,34,23.79475775,0.363203184,0.442913265,80,0.644757747
100,1.49,0.1,5.56,-0.11,56260.2175,0.982283108,2647.784767,3970.09544,0.103910615,3.585602525,67.25,4.153649586,176,35,24.43217266,0.281675423,0.442234694,100,1.282172657
20,10.37,0.7,5.76,-0.89,27103.74324,0.332475869,11224.11093,40580.54484,0.740907199,5.085853945,275,3.256824626,165.375,36,24.05838988,3.022974465,0.418556122,20,0.908389883
40,5.04,0.33,5.6,-0.31,52422.03717,0.935981154,4730.957388,11150.99472,0.180428198,3.960902459,78,2.689047892,115.6875,37,24.13546479,1.264316031,0.390994898,40,0.98546479
60,3.745,0.27,5.36,-0.38,44909.44282,0.925714194,5535.516394,16594.12758,0.261824009,4.012636541,85,2.493332111,40.1875,38,23.37466645,0.272494988,0.433423469,60,0.22466645
80,2,0.12,5.19,0.02,29283.52598,0.478046416,7180.499972,24583.93534,0.489748404,5.029471611,261,3.761986373,180,39,25.31541477,0.282772619,0.459112245,80,2.165414772
100,4.125,0.285,5.64,-0.42,82014.42048,1.335095597,2669.704367,2348.243024,0.063763673,3.541563824,63.625,3.527389566,61,40,24.32339029,0.337326137,0.389954082,100,1.173390291
20,5.86,0.42,5.27,-0.28,15225.17861,0.303872257,6557.296615,24390.26196,0.849789303,4.024735794,89,3.267421929,129,41,23.22773341,1.910562187,0.449168367,20,0.077733413
40,5.485,0.385,5.38,-0.56,23869.33871,0.389989705,9644.291579,33500.79088,0.802135839,4.50996513,137,3.587801735,144,42,23.41077835,0.297892532,0.432841837,40,0.260778352
60,5.63,0.4,5.33,-0.47,26230.13854,0.402567162,10805.53451,38452.29258,0.78128224,3.585818549,82,4.311329275,183,43,23.44248911,0.325514813,0.433204082,60,0.292489113
80,6.955,0.445,5.45,-0.19,60411.80062,0.945159304,4114.989455,8356.130241,0.126070971,3.578759823,58,4.029205184,180,44,23.33315925,0.225277205,0.417469388,80,0.183159254
100,1.635,0.095,5.47,-0.04,63591.36821,1.171962602,11761.48584,46211.99937,0.390677238,3.368511795,54,3.003268244,28,45,23.79970641,0.264274443,0.389954082,100,0.649706408
20,9.4,0.665,5.37,-0.63,22766.84954,0.375052261,2805.337725,4688.816988,0.259472538,4.531921063,176,3.01627239,106,46,24.81747368,3.716720338,0.362081633,20,1.667473675
40,7.525,0.53,5.63,-0.77,30781.78804,0.461036225,11134.94367,39741.94964,0.679466667,4.660356906,170,2.995201252,93,47,22.72738893,0.484843281,0.412377551,40,-0.422611071
60,2.995,0.16,5.48,-0.02,34379.91285,0.615471506,2779.514214,7830.300666,0.164211182,4.945253367,240,2.371408359,88,48,23.88121455,0.44673923,0.409548469,60,0.731214551
80,5,0.325,5.7,-0.62,21378.97664,0.39297722,7464.090052,24753.00065,0.686653582,4.389454583,111,4.587218689,265,49,27.09701931,0.270869705,0.423785714,80,3.947019312
100,3.4,0.215,5.65,-0.24,45428.38859,0.796660623,3220.83192,7005.336842,0.147792175,3.455037809,58.8125,3.32019694,37,50,23.92215979,0.26680391,0.389377551,100,0.772159787
